Runde	Zeit	Spieler	Punkte	Status	Fragen
0	2025-05-16T10-19	Mk.Kh@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T10-20	Liu.Uzt@meinemail.de	88	abgeschlossen	0-1 | 1-34
2	2025-05-16T10-26	Pauli.Otto@meinemail.de	200	abgeschlossen	0-0 | 1-30
3	2025-05-16T10-34	Pauli.BÃ¤r@meinemail.de	135	abgeschlossen	0-0 | 1-86
4	2025-05-16T10-36	Pu.Li@meinemail.de	131	abgeschlossen	0-0 | 1-97
5	2025-05-16T10-42	Oo.Uu@meinemail.de	135	abgeschlossen	0-0 | 1-85
6	2025-05-16T10-43	Lh.Oz@meinemail.de	135	abgeschlossen	0-0 | 1-85
7	2025-05-16T10-45	Tre.Zt@meinemail.de	131	abgeschlossen	0-0 | 1-96
8	2025-05-16T10-47	Max.Ul@meinemail.de	146	gestartet	0-0 | 1-65
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	gestartet	0-0 | 1-75
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T10-54	Te.St@meinemail.de	140	gestartet	0-0 | 1-75
1	2025-05-16T10-54	Te.St@meinemail.de	140	abgeschlossen	0-0 | 1-75
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	abgeschlossen	0-0 | 1-75
2	2025-05-16T10-56	Ou.Ut@meinemail.de	34	gestartet	0-1 | 1-87
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	abgeschlossen	0-0 | 1-75
2	2025-05-16T10-56	Ou.Ut@meinemail.de	34	abgeschlossen	0-1 | 1-87
1	2025-05-16T10-54	Te.St@meinemail.de	140	abgeschlossen	0-0 | 1-75
3	2025-05-16T10-58	Iu.Iz@meinemail.de	134	gestartet	0-0 | 1-87
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T10-54	Te.St@meinemail.de	140	abgeschlossen	0-0 | 1-75
2	2025-05-16T10-56	Ou.Ut@meinemail.de	34	abgeschlossen	0-1 | 1-87
3	2025-05-16T10-58	Iu.Iz@meinemail.de	134	abgeschlossen	0-0 | 1-87
4	2025-05-16T11-08	Ik.Oi@meinemail.de	135	gestartet	0-0 | 1-86
0	2025-05-16T10-53	Max.Ul@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T10-54	Te.St@meinemail.de	140	abgeschlossen	0-0 | 1-75
3	2025-05-16T10-58	Iu.Iz@meinemail.de	134	abgeschlossen	0-0 | 1-87
2	2025-05-16T10-56	Ou.Ut@meinemail.de	34	abgeschlossen	0-1 | 1-87
4	2025-05-16T11-08	Ik.Oi@meinemail.de	135	abgeschlossen	0-0 | 1-86
5	2025-05-16T11-16	Ou.Iz@meinemail.de	103	gestartet	0-0 | 1-987
0	2025-05-16T12-36	J.K@meinemail.de	39	gestartet	0-1 | 1-76
0	2025-05-16T12-36	J.K@meinemail.de	39	abgeschlossen	0-1 | 1-76
1	2025-05-16T12-37	Oi.Pl@meinemail.de	200	gestartet	0-0 | 1-30
0	2025-05-16T12-36	J.K@meinemail.de	39	abgeschlossen	0-1 | 1-76
1	2025-05-16T12-37	Oi.Pl@meinemail.de	200	abgeschlossen	0-0 | 1-30
2	2025-05-16T12-51	Kh.Kh@meinemail.de	127	gestartet	0-0 | 1-8
0	2025-05-16T12-36	J.K@meinemail.de	39	abgeschlossen	0-1 | 1-76
1	2025-05-16T12-37	Oi.Pl@meinemail.de	200	abgeschlossen	0-0 | 1-30
2	2025-05-16T12-51	Kh.Kh@meinemail.de	127	abgeschlossen	0-0 | 1-8
3	2025-05-16T12-51	Lo.Pu@meinemail.de	31	gestartet	0-2 | 1-96
0	2025-05-16T12-54	P.O@meinemail.de	20	gestartet	0-1 | 1-6
0	2025-05-16T12-55	Uz.Ãœp@meinemail.de	135	gestartet	0-0 | 1-86
0	2025-05-16T12-55	Ãœi.Zt@meinemail.de	140	gestartet	0-0 | 1-75
0	2025-05-16T12-55	Ãœi.Zt@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T12-56	Ew.R@meinemail.de	23	gestartet	0-2 | 1-7
0	2025-05-16T12-55	Ãœi.Zt@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T12-56	Ew.R@meinemail.de	23	abgeschlossen	0-2 | 1-7
2	2025-05-16T13-02	A.B@meinemail.de	10	gestartet	0-1 | 1-3
0	2025-05-16T12-55	Ãœi.Zt@meinemail.de	140	abgeschlossen	0-0 | 1-75
1	2025-05-16T12-56	Ew.R@meinemail.de	23	abgeschlossen	0-2 | 1-7
2	2025-05-16T13-02	A.B@meinemail.de	10	abgeschlossen	0-1 | 1-3
3	2025-05-16T13-03	E.D@meinemail.de	200	gestartet	0-0 | 1-30
0	2025-05-16T13-07	E.T@meinemail.de	200	gestartet	0-0 | 1-30
1	2025-05-16T13-08	J.G@meinemail.de	7	gestartet	0-1 | 1-2
2	2025-05-16T13-08	L.N@meinemail.de	27	gestartet	0-2 | 1-8
3	2025-05-16T13-09	Pu.M@meinemail.de	200	gestartet	0-0 | 1-30
4	2025-05-16T13-17	L.X@meinemail.de	186	gestartet	0-0 | 1-35
